,CV_Accuracy_Mean,CV_Accuracy_Std,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,AUC_Score,Avg_Precision,Overfitting_Gap,Training_Time,Features_Used,Overall_Score
DecisionTree,0.6045088378240466,0.010324936717648081,0.6681121711477306,0.5949696444058976,0.6672629459373967,0.5949696444058976,0.6027398492315515,0.8271526350129043,0.6757644872014891,0.07314252674183297,0.025936126708984375,25.0,0.6669556030356958
RandomForest,0.632556485950662,0.022052389513256478,0.7213067360508818,0.6496097137901128,0.6746122881224925,0.6496097137901128,0.6533641524214601,0.8627625214340666,0.724371215927829,0.07169702226076902,0.5673646926879883,25.0,0.7146818876727031
XGBoost,0.7189940021582192,0.019570534064056625,0.8248048568950563,0.7346053772766695,0.736458251202397,0.7346053772766695,0.7215478722724411,0.9016296600420952,0.7967884089540876,0.09019947961838681,1.4530394077301025,25.0,0.7807954106050288
LogisticRegression,0.6519294312506797,0.01609170105304975,0.65972824515756,0.6444058976582827,0.6367380218245915,0.6444058976582827,0.6260459758379383,0.8305009504138878,0.6684900988815052,0.0153223474992773,0.7077653408050537,25.0,0.6947264369388609
SVM,0.5594070752783517,0.012753902958771747,0.5602775368603643,0.5516045099739809,0.5021659633720434,0.5516045099739809,0.5200650746334884,0.7417198698231541,0.5062150976844076,0.008673026886383384,4.18643856048584,25.0,0.5991772873265852
